id	original_title	popularity	fetched	budget	imdb_id	original_language	overview	poster_path	release_date	revenue	runtime	vote_average	vote_count	imdb_vote_average	imdb_vote_count	weighted_rating
83	"Open Water"	16.416	true	130000	"tt0374102"	"en"	"Two divers are left out at sea without a boat. There’s nothing but water for miles, unless they look at what’s underneath them..."	"/xOjcaWBNG2PvylJOhlkaqaAAKUr.jpg"	"2004-08-06"	54667954	79	5.5	923	5.8	55874	89.2
85	"Raiders of the Lost Ark"	48.644	true	18000000	"tt0082971"	"en"	"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime."	"/ceG9VzoRAVGwivFU403Wc3AHRys.jpg"	"1981-06-12"	389925971	115	7.9	10659	8.4	1016800	162.8
86	"Elementarteilchen"	6.816	true	6000000	"tt0430051"	"de"	"Based on Michel Houellebecq's controversial novel, Atomised (aka The Elementary Particles) focuses on Michael and Bruno, two very different half-brothers and their disturbed sexuality.  After a chaotic childhood with a hippie mother only caring for her affairs, Michael, a molecular biologist, is more interested in genes than women, while Bruno is obsessed with his sexual desires, but mostly finds his satisfaction with prostitutes.  But Bruno's life changes when he gets to know the experienced Christiane.  In the meantime, Michael meets Annabelle, the love of his youth, again."	"/wpGpR7GewyApPgqPvuWadBAfmFc.jpg"	"2006-02-10"	0	105	6.2	112	6.6	8253	83.4
87	"Indiana Jones and the Temple of Doom"	35.702	true	28000000	"tt0087469"	"en"	"After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees – and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace."	"/3CUUdNP7bHvJ7UT2MiG9iDKIRdu.jpg"	"1984-05-23"	333000000	118	7.3	7846	7.5	524239	140.8
88	"Dirty Dancing"	24.812	true	6000000	"tt0092890"	"en"	"Expecting the usual tedium that accompanies a summer in the Catskills with her family, 17-year-old Frances 'Baby' Houseman is surprised to find herself stepping into the shoes of a professional hoofer—and unexpectedly falling in love."	"/9Jw6jys7q9gjzVX5zm1z0gC8gY9.jpg"	"1987-08-21"	214577242	100	7.3	5376	7.0	248562	128.4
89	"Indiana Jones and the Last Crusade"	47.886	true	48000000	"tt0097576"	"en"	"In 1938, an art collector appeals to eminent archaeologist Dr. Indiana Jones to embark on a search for the Holy Grail. Indy learns that a medieval historian has vanished while searching for it, and the missing man is his own father, Dr. Henry Jones Sr.. He sets out to rescue his father by following clues in the old man's notebook, which his father had mailed to him before he went missing. Indy arrives in Venice, where he enlists the help of a beautiful academic, Dr. Elsa Schneider, along with Marcus Brody and Sallah. Together they must stop the Nazis from recovering the power of eternal life and taking over the world!"	"/sizg1AU8f8JDZX4QIgE4pjUMBvx.jpg"	"1989-05-24"	474171806	127	7.8	8615	8.2	794640	156.9
90	"Beverly Hills Cop"	23.230	true	14000000	"tt0086960"	"en"	"The heat is on in this fast paced action-comedy starring Eddie Murphy as Axel Foley, a street smart Detroit cop tracking down his best friend's killer in Beverly Hills. Axel quickly learns that his wild style doesn't fit in with the Beverly Hills Police Department, which assigns two officers to make sure things don't get out of hand. Dragging the stuffy detectives along for the ride, Axel smashes through a huge culture clash in his hilarious, high-speed pursuit of justice. Featuring cameos by Paul Reiser, Bronson Pinchot and Damon Wayans, Beverly Hills Cop is an exhilarating, sidesplitting adventure."	"/eBJEvKkhQ0tUt1dBAcTEYW6kCle.jpg"	"1984-12-05"	316360478	105	7.2	3427	7.4	195266	128.5
91	"Las Hurdes"	6.252	true	0	"tt0023037"	"es"	"An exploration —manipulated and staged— of life in Las Hurdes, in the province of Cáceres, in Extremadura, Spain, as it was in 1932. Insalubrity, misery and lack of opportunities provoke the emigration of young people and the solitude of those who remain in the desolation of one of the poorest and least developed Spanish regions at that time. (Silent short, voiced in 1937 and 1996.)"	"/iQM715v277SIw66Y1bJ1KiK5WNx.jpg"	"1933-12-01"	0	29	7.1	122	7.3	6132	90.8
92	"Megacities"	2.509	true	0	"tt0169024"	"en"	"Megacities is a documentary about the slums of five different metropolitan cities."	"/qO48XLCG58cICOgAR57ao0PrJ6A.jpg"	"1998-08-12"	0	94	6.9	17	7.4	1003	71.5
93	"Anatomy of a Murder"	12.910	true	2000000	"tt0052561"	"en"	"Semi-retired Michigan lawyer Paul Biegler takes the case of Army Lt. Manion, who murdered a local innkeeper after his wife claimed that he raped her. Over the course of an extensive trial, Biegler parries with District Attorney Lodwick and out-of-town prosecutor Claude Dancer to set his client free, but his case rests on the victim's mysterious business partner, who's hiding a dark secret."	"/zMxLbSPpToTCc6yK2Gddhx6nHNN.jpg"	"1959-07-01"	8000000	161	7.9	774	8.0	69671	128.0
94	"Kunstgriff"	1.199	true	0	"tt0436488"	"de"	"Kunstgriff is a brilliantly filmed black and white short film. Andre F. Nebe gives proof of his storytelling abilities in this 6 minute film."	"/82CFTXepfmETr2C4n7ZlrpLyjAx.jpg"	"2002-01-01"	0	6	8.5	2	6.9	35	40.1
95	"Armageddon"	45.971	true	140000000	"tt0120591"	"en"	"When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise."	"/eTM3qtGhDU8cvjpoa6KEt5E2auU.jpg"	"1998-07-01"	553799566	151	6.8	6963	6.7	442815	126.8
96	"Beverly Hills Cop II"	22.501	true	28000000	"tt0092644"	"en"	"Axel heads for the land of sunshine and palm trees to find out who shot police Captain Andrew Bogomil. Thanks to a couple of old friends, Axel's investigation uncovers a series of robberies masterminded by a heartless weapons kingpin—and the chase is on."	"/egDakU8O5yUwpUJP9IMAUVtIDll.jpg"	"1987-05-18"	299965036	103	6.5	2020	6.5	126558	110.3
97	"Tron"	33.121	true	17000000	"tt0084827"	"en"	"When brilliant video game maker Flynn hacks the mainframe of his ex-employer, he is beamed inside an astonishing digital world...and becomes part of the very game he is designing. In his mission through cyberspace, Flynn matches wits with a maniacal Master Control Program and teams up with Tron, a security measure created to bring balance to the digital environment."	"/zwSFEczP7AzqugAHHIX3zHniT0t.jpg"	"1982-07-09"	33000000	96	6.7	1908	6.7	126970	113.7
98	"Gladiator"	56.565	true	103000000	"tt0172495"	"en"	"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos.  Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor.  As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed.  He escapes, but is captured by slave traders.  Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences."	"/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg"	"2000-05-04"	465361176	155	8.2	16038	8.5	1571347	172.0
99	"Todo sobre mi madre"	13.127	true	8272296	"tt0185125"	"es"	"Following the tragic death of her teenage son, Manuela travels from Madrid to Barcelona in an attempt to contact the long-estranged father the boy never knew. She reunites with an old friend, an outspoken transgender sex worker, and befriends a troubled actress and a pregnant, HIV-positive nun."	"/hjQhzhkGYXPNM96k0mOgob6HMmn.jpg"	"1999-04-16"	67872296	101	7.7	1581	7.8	101203	129.0
100	"Lock, Stock and Two Smoking Barrels"	10.551	true	1350000	"tt0120735"	"en"	"A card shark and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door."	"/8kSerJrhrJWKLk1LViesGcnrUPE.jpg"	"1998-08-28"	28356188	105	8.1	5769	8.1	604761	155.7
101	"Léon: The Professional"	59.808	true	16000000	"tt0110413"	"en"	"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps."	"/yI6X2cCM5YPJtxMhUd3dPGqDAhw.jpg"	"1994-09-14"	45284974	111	8.3	12855	8.5	1214668	169.9
102	"Elsker dig for evigt"	5.813	true	0	"tt0315543"	"da"	"Cecilie and Joachim are about to get married when a freak car accident leaves Joachim disabled, throwing their lives into a spin. The driver of the other car, Marie, and her family don’t get off lightly, either. Her husband Niels works in the hospital where he meets Cecilie and falls madly in love with her."	"/hOrV2fCw2kmSiS4ZMGFPfXqr3lt.jpg"	"2002-09-06"	0	113	6.8	83	7.5	10707	95.8
103	"Taxi Driver"	59.067	true	1300000	"tt0075314"	"en"	"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action."	"/ekstpH614fwDX8DUln1a2Opz0N8.jpg"	"1976-02-09"	28570902	114	8.2	10240	8.2	891265	162.2
104	"Lola rennt"	18.573	true	1530000	"tt0130827"	"de"	"Lola receives a phone call from her boyfriend Manni. He lost 100,000 DM in a subway train that belongs to a very bad guy. She has 20 minutes to raise this amount and meet Manni. Otherwise, he will rob a store to get the money. Three different alternatives may happen depending on some minor event along Lola's run."	"/v0giIi4bTILVhNhJajet3WWY3FA.jpg"	"1998-03-03"	7267585	81	7.3	1850	7.7	204242	132.4
105	"Back to the Future"	69.670	true	19000000	"tt0088763"	"en"	"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985."	"/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg"	"1985-07-03"	381109762	116	8.3	17457	8.5	1270234	170.5
106	"Predator"	70.434	true	15000000	"tt0093773"	"en"	"A team of elite commandos on a secret mission in a Central American jungle come to find themselves hunted by an extraterrestrial warrior."	"/9XibNLfmUWCg0PPydmyoCl1KxvF.jpg"	"1987-06-12"	98267558	107	7.5	6757	7.8	443160	143.7
107	"Snatch"	33.224	true	10000000	"tt0208092"	"en"	"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."	"/56mOJth6DJ6JhgoE2jtpilVqJO.jpg"	"2000-09-01"	83557872	103	7.8	7793	8.2	889809	158.2
108	"Trois couleurs : Bleu"	17.375	true	0	"tt0108394"	"fr"	"Julie is haunted by her grief after living through a tragic auto wreck that claimed the life of her composer husband and young daughter. Her initial reaction is to withdraw from her relationships, lock herself in her apartment and suppress her pain. But avoiding human interactions on the bustling streets of Paris proves impossible, and she eventually meets up with Olivier, an old friend who harbors a secret love for her, and who could draw her back to reality."	"/33wsWxzsNstI8N7dvuwzFmj1qBd.jpg"	"1993-08-01"	0	98	7.7	1358	7.9	108135	130.6
109	"Trois couleurs : Blanc"	15.415	true	0	"tt0111507"	"fr"	"Polish immigrant Karol Karol finds himself out of a marriage, a job and a country when his French wife, Dominique, divorces him after six months due to his impotence. Forced to leave France after losing the business they jointly owned, Karol enlists fellow Polish expatriate Mikołaj to smuggle him back to their homeland."	"/fdIet3NSa27gobMbaUml66oCQNT.jpg"	"1994-01-26"	0	92	7.5	946	7.6	77884	122.8
110	"Trois couleurs : Rouge"	16.866	true	0	"tt0111495"	"fr"	"Valentine, a student model in Geneva, struggles with a possessive boyfriend and a troubled family. When she runs over a dog, she discovers that its owner, a retired judge, is illegally wiretapping and eavesdropping on his neighbors' phone calls. Although Valentine is outraged, she develops a strange bond with the judge – and as the two become closer, she finds herself caught in the middle of events that could change her life."	"/JHmsBiX1tjCKqAul1lzC20WcAW.jpg"	"1994-05-12"	0	100	8.0	1113	8.1	107986	134.7
111	"Scarface"	56.942	true	25000000	"tt0086250"	"en"	"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall."	"/iQ5ztdjvteGeboxtmRdXEChJOHh.jpg"	"1983-12-09"	66023329	170	8.2	9977	8.3	889814	163.2
112	"Italiensk for begyndere"	6.515	true	1000000	"tt0243862"	"da"	"A group of strangers find friendship, family and love within an Italian beginners’ course."	"/xBEiE8yBaWtpRG04QpSAcIfJiW1.jpg"	"2000-12-07"	16350876	95	6.5	103	7.0	13701	92.8
113	"봄 여름 가을 겨울 그리고 봄"	19.712	true	0	"tt0374546"	"ko"	"An isolated lake, where an old monk lives in a small floating temple. The monk has a young boy living with him, learning to become a monk. We watch as seasons and years pass by."	"/6SQQ5REuAz7k0FMQ9mSCT40T2LN.jpg"	"2003-09-19"	8945072	103	7.8	888	8.0	85678	129.6
114	"Pretty Woman"	44.366	true	14000000	"tt0100405"	"en"	"When a millionaire wheeler-dealer enters a business contract with a Hollywood hooker Vivian Ward, he loses his heart in the bargain."	"/hVHUfT801LQATGd26VPzhorIYza.jpg"	"1990-03-23"	463406268	119	7.4	6844	7.1	345263	133.6
115	"The Big Lebowski"	31.465	true	15000000	"tt0118715"	"en"	"Jeffrey 'The Dude' Lebowski, a Los Angeles slacker who only wants to bowl and drink White Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money."	"/9mprbw31MGdd66LR0AQKoDMoFRv.jpg"	"1998-03-06"	46969409	117	7.8	9847	8.1	841588	156.6
116	"Match Point"	18.420	true	15000000	"tt0416320"	"en"	"Chris, a former tennis player, looks for work as an instructor. He meets Tom Hewett, a wealthy young man whose sister Chloe fall in love with Chris. But Chris has his eye on Tom's fiancee Nola."	"/vHjEVTD8ucuwKSFOZJeyAnTZYli.jpg"	"2005-10-26"	85306374	124	7.4	3606	7.6	225000	133.5
117	"The Untouchables"	28.026	true	25000000	"tt0094226"	"en"	"Young Treasury Agent Eliot Ness arrives in Chicago and is determined to take down Al Capone, but it's not going to be easy because Capone has the police in his pocket. Ness meets Jim Malone, a veteran patrolman and probably the most honorable one on the force. He asks Malone to help him get Capone, but Malone warns him that if he goes after Capone, he is going to war."	"/sfMVTmd5irneaZOmQVdB8gFlId3.jpg"	"1987-06-03"	76270454	119	7.8	4887	7.8	324379	143.0
118	"Charlie and the Chocolate Factory"	94.731	true	150000000	"tt0367594"	"en"	"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker."	"/wfGfxtBkhBzQfOZw4S8IQZgrH0a.jpg"	"2005-07-13"	474968763	115	7.0	13284	6.7	508677	130.1
120	"The Lord of the Rings: The Fellowship of the Ring"	113.116	true	93000000	"tt0120737"	"en"	"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed."	"/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg"	"2001-12-18"	871368364	179	8.4	22155	8.8	1953722	179.9
121	"The Lord of the Rings: The Two Towers"	84.252	true	79000000	"tt0167261"	"en"	"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard."	"/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg"	"2002-12-18"	926287400	179	8.4	19260	8.8	1737361	178.4
122	"The Lord of the Rings: The Return of the King"	88.013	true	94000000	"tt0167260"	"en"	"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm."	"/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg"	"2003-12-01"	1118888979	201	8.5	20986	9.0	1926155	182.8
123	"The Lord of the Rings"	26.965	true	4000000	"tt0077869"	"en"	"The Fellowship of the Ring embark on a journey to destroy the One Ring and end Sauron's reign over Middle-earth."	"/liW0mjvTyLs7UCumaHhx3PpU4VT.jpg"	"1978-11-15"	30471420	132	6.6	698	6.2	35111	96.8
124	"Bez końca"	6.813	true	0	"tt0086961"	"pl"	"1982, Poland. A translator loses her husband and becomes a victim of her own sorrow. She looks to sex, to her son, to law, and to hypnotism when she has nothing else in this time of martial law when Solidarity was banned."	"/3pdF1guvIxNgmhDkmXJHCCk0PkC.jpg"	"1985-06-17"	0	108	7.3	66	7.4	5519	91.5
125	"Dworzec"	1.950	true	0	"tt0080668"	"pl"	"Kieslowski’s later film Dworzec (Station, 1980) portrays the atmosphere at Central Station in Warsaw after the rush hour."	"/c4xG9QoCx2zXc8iP3jQVLYDHiMi.jpg"	"1980-01-01"	0	13	5.9	18	6.4	656	57.8
126	"Krótki dzień pracy"	1.539	true	0	"tt0082631"	"pl"	"A dramatisation of the workers' protests in June 1976 in Radom, seen from the perspective of the local Secretary of the Polish United Workers' Party. [Produced in 1981, but not commercially released until 1996.]"	"/rJwiDSoKI3ryiLTZZ6BPUl2CrwG.jpg"	"1981-01-01"	0	73	6.8	5	6.8	401	58.9
127	"Przypadek"	7.182	true	0	"tt0084549"	"pl"	"Witek runs after a train. Three variations follow on how such a seemingly banal incident could influence the rest of Witek's life."	"/gx84VmJllqvXF3JEqcEdsxBEcbF.jpg"	"1987-01-10"	0	123	7.6	152	7.7	10845	102.7
128	"もののけ姫"	41.140	true	26500000	"tt0119698"	"ja"	"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict."	"/pdtzEreKvKAlqa2YEBaGwiA45V8.jpg"	"1997-07-12"	159414369	134	8.3	6766	8.3	418213	155.2
129	"千と千尋の神隠し"	77.742	true	19000000	"tt0245429"	"ja"	"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family."	"/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg"	"2002-09-20"	274925095	125	8.5	13855	8.6	815363	168.1
132	"Gimme Shelter"	8.285	true	0	"tt0065780"	"en"	"A detailed chronicle of the famous 1969 tour of the United States by the British rock band The Rolling Stones, which culminated with the disastrous and tragic concert held on December 6 at the Altamont Speedway Free Festival, an event of historical significance, as it marked the end of an era: the generation of peace and love suddenly became the generation of disillusionment."	"/hbGiaHULqEKmEEGb61ko7erTeYG.jpg"	"1970-12-13"	252570	92	7.4	140	7.8	12631	103.7
133	"Primary"	3.284	true	0	"tt0054205"	"en"	"Primary is a documentary film about the primary elections between John F. Kennedy and Hubert Humphrey in 1960. Primary is the first documentary to use light equipment in order to follow their subjects in a more intimate filmmaking style. This unconventional way of filming created a new look for documentary films where the camera’s lens was right in the middle of what ever drama was occuring."	"/gVloWsthHRlw719vzRWRpBqDM20.jpg"	"1960-01-01"	0	60	6.5	25	7.1	1440	71.5
134	"O Brother, Where Art Thou?"	20.139	true	26000000	"tt0190590"	"en"	"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them. On their journey they come across many comical characters and incredible situations. Based upon Homer's 'Odyssey'."	"/2YztYilviFCYcEtDAnrOstUWGie.jpg"	"2000-08-30"	71870729	107	7.3	3544	7.7	324557	137.4
135	"Bob Dylan: Dont Look Back"	7.680	true	0	"tt0061589"	"en"	"In this wildly entertaining vision of one of the twentieth century’s greatest artists, Bob Dylan is surrounded by teen fans, gets into heated philosophical jousts with journalists, and kicks back with fellow musicians Joan Baez, Donovan, and Alan Price."	"/eE6LQ1EVkslBwku36564kk6rAOI.jpg"	"1967-05-17"	0	96	7.4	124	7.9	9848	101.6
136	"Freaks"	20.364	true	310607	"tt0022913"	"en"	"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance."	"/idK9v05lDtXm67bylUhQyvVlZM6.jpg"	"1932-02-12"	0	62	7.8	982	7.8	49341	121.8
137	"Groundhog Day"	33.826	true	14600000	"tt0107048"	"en"	"A narcissistic TV weatherman, along with his attractive-but-distant producer, and his mawkish cameraman, is sent to report on Groundhog Day in the small town of Punxsutawney, where he finds himself repeating the same day over and over."	"/gCgt1WARPZaXnq523ySQEUKinCs.jpg"	"1993-02-11"	71074049	101	7.6	6781	8.0	665480	151.0
